输入商品名称,匹配的SPU,匹配的SKU,期望值
Vivo Y500Pro 5G(12+512)祥云金,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 祥云金,vivo Y500 Pro 全网通5G 12GB+512GB 祥云金
Vivo Y500Pro 5G(12+512)柔粉,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 柔粉,vivo Y500 Pro 全网通5G 12GB+512GB 柔粉
Vivo Y500Pro 5G(12+512)浅绿,vivo Y500 Pro,vivo Y500 Pro 全网通5G 12GB+512GB 浅绿,vivo Y500 Pro 全网通5G 12GB+512GB 浅绿
Vivo Y50i 5G(6+128)天青,vivo Y50i,vivo Y50i 全网通版 6GB+128GB 天青,vivo Y50i 全网通版 6GB+128GB 天青
Vivo Y50i 5G(6+128)钻黑,vivo Y50i,vivo Y50i 全网通版 6GB+128GB 钻黑,vivo Y50i 全网通版 6GB+128GB 钻黑
Vivo S30 5G(12+512)可可黑,vivo S30,vivo S30 全网通5G 12GB+512GB 可可黑,vivo S30 全网通5G 12GB+512GB 可可黑
Vivo S30 5G(12+512)薄荷青,vivo S30,vivo S30 全网通5G 12GB+512GB 薄荷青,vivo S30 全网通5G 12GB+512GB 薄荷青
Vivo S30 5G(12+512)桃桃粉,vivo S30,vivo S30 全网通5G 12GB+512GB 桃桃粉,vivo S30 全网通5G 12GB+512GB 桃桃粉
Vivo S30 5G(12+512)柠檬黄,vivo S30,vivo S30 全网通5G 12GB+512GB 柠檬黄,vivo S30 全网通5G 12GB+512GB 柠檬黄
Vivo S30Promini 5G(12+512)可可黑,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 12GB+512GB 可可黑,vivo S30 Pro mini 全网通5G 12GB+512GB 可可黑
Vivo S30Promini 5G(12+512)薄荷青,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 12GB+512GB 薄荷青,vivo S30 Pro mini 全网通5G 12GB+512GB 薄荷青
Vivo S30Promini 5G(12+512)柠檬黄,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 12GB+512GB 柠檬黄,vivo S30 Pro mini 全网通5G 12GB+512GB 柠檬黄
Vivo S30Promini 5G(12+512)酷莓粉,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 12GB+512GB 酷莓粉,vivo S30 Pro mini 全网通5G 12GB+512GB 酷莓粉
Vivo S30Promini 5G(16+512)薄荷青,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 16GB+512GB 薄荷青,vivo S30 Pro mini 全网通5G 16GB+512GB 薄荷青
Vivo S30Promini 5G(16+512)柠檬黄,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 16GB+512GB 柠檬黄,vivo S30 Pro mini 全网通5G 16GB+512GB 柠檬黄
Vivo S30Promini 5G(16+512)可可黑,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 16GB+512GB 可可黑,vivo S30 Pro mini 全网通5G 16GB+512GB 可可黑
Vivo S30Promini 5G(16+512)酷莓粉,vivo S30 Pro mini,vivo S30 Pro mini 全网通5G 16GB+512GB 酷莓粉,vivo S30 Pro mini 全网通5G 16GB+512GB 酷莓粉
Vivo S30 5G(16+512)桃桃粉,vivo S30,vivo S30 全网通5G 16GB+512GB 桃桃粉,vivo S30 全网通5G 16GB+512GB 桃桃粉
Vivo S30 5G(16+512)可可黑,vivo S30,vivo S30 全网通5G 16GB+512GB 可可黑,vivo S30 全网通5G 16GB+512GB 可可黑
Vivo S30 5G(16+512)薄荷青,vivo S30,vivo S30 全网通5G 16GB+512GB 薄荷青,vivo S30 全网通5G 16GB+512GB 薄荷青
Vivo S50Promini 5G(16+512)告白,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 16GB+512GB 告白,vivo S50 Pro mini 全网通5G 16GB+512GB 告白
Vivo S50Promini 5G(16+512)深空黑,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 16GB+512GB 深空黑,vivo S50 Pro mini 全网通5G 16GB+512GB 深空黑
Vivo S50Promini 5G(16+512)灵感紫,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 16GB+512GB 灵感紫,vivo S50 Pro mini 全网通5G 16GB+512GB 灵感紫
Vivo S50Promini 5G(12+512)灵感紫,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 12GB+512GB 灵感紫,vivo S50 Pro mini 全网通5G 12GB+512GB 灵感紫
Vivo S50Promini 5G(12+512)深空黑,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 12GB+512GB 深空黑,vivo S50 Pro mini 全网通5G 12GB+512GB 深空黑
Vivo S50Promini 5G(12+512)告白,vivo S50 Pro mini,vivo S50 Pro mini 全网通5G 12GB+512GB 告白,vivo S50 Pro mini 全网通5G 12GB+512GB 告白
Vivo S50 5G(16+512)灵感紫,vivo S50,vivo S50 全网通5G 16GB+512GB 灵感紫,vivo S50 全网通5G 16GB+512GB 灵感紫
Vivo S50 5G(16+512)深空黑,vivo S50,vivo S50 全网通5G 16GB+512GB 深空黑,vivo S50 全网通5G 16GB+512GB 深空黑
Vivo S50 5G(16+512)悠悠蓝,vivo S50,vivo S50 全网通5G 16GB+512GB 悠悠蓝,vivo S50 全网通5G 16GB+512GB 悠悠蓝
Vivo S50 5G(12+512)告白,vivo S50,vivo S50 全网通5G 12GB+512GB 告白,vivo S50 全网通5G 12GB+512GB 告白
Vivo S50 5G(12+512)悠悠蓝,vivo S50,vivo S50 全网通5G 12GB+512GB 悠悠蓝,vivo S50 全网通5G 12GB+512GB 悠悠蓝
Vivo S50 5G(12+512)深空黑,vivo S50,vivo S50 全网通5G 12GB+512GB 深空黑,vivo S50 全网通5G 12GB+512GB 深空黑
Vivo S50 5G(12+512)灵感紫,vivo S50,vivo S50 全网通5G 12GB+512GB 灵感紫,vivo S50 全网通5G 12GB+512GB 灵感紫
Vivo S50 5G(12+256)悠悠蓝,vivo S50,vivo S50 全网通5G 12GB+256GB 悠悠蓝,vivo S50 全网通5G 12GB+256GB 悠悠蓝
Vivo S50 5G(12+256)告白,vivo S50,vivo S50 全网通5G 12GB+256GB 告白,vivo S50 全网通5G 12GB+256GB 告白
Vivo S50 5G(12+256)深空黑,vivo S50,vivo S50 全网通5G 12GB+256GB 深空黑,vivo S50 全网通5G 12GB+256GB 深空黑
Vivo S50 5G(12+256)灵感紫,vivo S50,vivo S50 全网通5G 12GB+256GB 灵感紫,vivo S50 全网通5G 12GB+256GB 灵感紫
Vivo X FOLD5 5G(16+1T)青松,vivo X Fold5,vivo X Fold5 全网通5G 16GB+1TB 青松,vivo X Fold5 全网通5G 16GB+1TB 青松
VIVO WatchGT 软胶蓝牙版夏夜黑,vivo WATCH GT 真皮表带,vivo WATCH GT 真皮表带 黑色,vivo WATCH GT（WA2456C） 蓝牙版 夏夜黑 软胶
VIVO Watch5 蓝牙版辰夜黑,vivo WATCH 5 蓝牙版,vivo WATCH 5 蓝牙版 软胶 辰夜黑,vivo WATCH 5 蓝牙版 软胶 辰夜黑
VIVO WatchGT2 软胶蓝牙版原点黑,-,-,vivo WATCH GT 2 蓝牙版 原点黑
VIVO WatchGT2 软胶蓝牙版空白格,-,-,vivo WATCH GT 2 蓝牙版 空格白
Vivo X200Pro 5G(16+512)白月光,vivo X200 pro,vivo X200 pro 全网通5G 16GB+512GB  白月光,vivo X200 pro 全网通5G 16GB+512GB  白月光
Vivo X200Pro 5G(16+512)辰夜黑,vivo X200 pro,vivo X200 pro 全网通5G 16GB+512GB 辰夜黑,vivo X200 pro 全网通5G 16GB+512GB 辰夜黑
Vivo X200S 5G(12+512)简黑,vivo X200s保护壳,-,vivo X200s 全网通5G 12GB+512GB 简黑
Vivo X200Ultra 5G(16+512)黑ka,vivo X200 Ultra,vivo X200 Ultra 全网通5G 16GB+512GB 黑Ka,vivo X200 Ultra 全网通5G 16GB+512GB 黑Ka
Vivo X300 5G(12+512)自在蓝,vivo X300,vivo X300 全网通5G 12GB+512GB 自在蓝,vivo X300 全网通5G 12GB+512GB 自在蓝
Vivo X300 5G(12+512)纯粹黑,vivo X300,vivo X300 全网通5G 12GB+512GB 纯粹黑,vivo X300 全网通5G 12GB+512GB 纯粹黑
Vivo X300 5G(16+512)幸运彩,vivo X300,vivo X300 全网通5G 16GB+512GB 幸运彩,vivo X300 全网通5G 16GB+512GB 幸运彩
Vivo X300 5G(16+512)纯粹黑,vivo X300,vivo X300 全网通5G 16GB+512GB 纯粹黑,vivo X300 全网通5G 16GB+512GB 纯粹黑
Vivo X300 5G(16+512)惬意紫,vivo X300,vivo X300 全网通5G 16GB+512GB 惬意紫,vivo X300 全网通5G 16GB+512GB 惬意紫
Vivo X300 5G(16+512)自在蓝,vivo X300,vivo X300 全网通5G 16GB+512GB 自在蓝,vivo X300 全网通5G 16GB+512GB 自在蓝
Vivo X300Pro 5G(16+512)旷野棕,vivo X300 Pro,vivo X300 Pro 全网通5G 16GB+512GB 旷野棕,vivo X300 Pro 全网通5G 16GB+512GB 旷野棕
Vivo X300Pro 5G(16+512)自在蓝,vivo X300 Pro,vivo X300 Pro 全网通5G 16GB+512GB 自在蓝,vivo X300 Pro 全网通5G 16GB+512GB 自在蓝
OPPO WatchX2mini 42mm  4G(OWW242)皓月银,-,-,OPPO Watch X2 Mini 全智能手表 皓月银
OPPO WatchX2mini 42mm  4G(OWW242)明日金,-,-,OPPO Watch X2 Mini 全智能手表 明日金
OPPO WatchS(OWW262)竞速黑,-,-,OPPO Watch S 智能手表 竞速黑
OPPO K13Turbo 5G(12+512)骑士白,-,-,OPPO K13 Turbo 全网通5G版 12GB+512GB 骑士白
OPPO K13Turbo 5G(12+512)初号紫,-,-,OPPO K13 Turbo 全网通5G版 12GB+512GB 初号紫
OPPO K13Turbo 5G(12+512)黑武士,-,-,OPPO K13 Turbo 全网通5G版 12GB+512GB 黑武士
OPPO K13Turbo pro 5G(16+512)初号紫,-,-,OPPO K13 Turbo Pro 全网通5G版 16GB+512GB 初号紫
OPPO K13Turbo pro 5G(16+512)骑士银,-,-,OPPO K13 Turbo Pro 全网通5G版 16GB+512GB 骑士银
OPPO K13Turbo pro 5G(16+512)黑武士,-,-,OPPO K13 Turbo Pro 全网通5G版 16GB+512GB 黑武士
OPPO K13Turbo pro 5G(12+512)初号紫,-,-,OPPO K13 Turbo Pro 全网通5G版 12GB+512GB 初号紫
OPPO A5PRO (12+256)石英白,OPPO A5 Pro,OPPO A5 Pro 全网通5G版 12GB+256GB 石英白,OPPO A5 Pro 全网通5G版 12GB+256GB 石英白
OPPO A5活力版(12+256)玉石绿,OPPO A5,OPPO A5 全网通5G版 12GB+256GB 锆石黑,OPPO A5 活力版 全网通5G版 12GB+256GB 玉石绿
OPPO A5活力版(12+256)玛瑙粉,OPPO A5,OPPO A5 全网通5G版 12GB+256GB 晶钻粉,OPPO A5 活力版 全网通5G版 12GB+256GB 玛瑙粉
OPPO A5活力版(12+256)琥珀黑,OPPO A5,OPPO A5 全网通5G版 12GB+256GB 锆石黑,OPPO A5 活力版 全网通5G版 12GB+256GB 琥珀黑
OPPO A5活力版(12+512)玛瑙粉,OPPO A5,OPPO A5 全网通5G版 12GB+512GB 晶钻粉,OPPO A5 活力版 全网通5G版 12GB+512GB 玛瑙粉
OPPO A5活力版(12+512)玉石绿,OPPO A5,OPPO A5 全网通5G版 12GB+512GB 锆石黑,OPPO A5 活力版 全网通5G版 12GB+512GB 玉石绿
OPPO A5活力版(12+512)琥珀黑,OPPO A5,OPPO A5 全网通5G版 12GB+512GB 锆石黑,OPPO A5 活力版 全网通5G版 12GB+512GB 琥珀黑
OPPO A5x 5G(8+256)钻石白,OPPO A5x,OPPO A5x 全网通5G版 8GB+256GB 钻石白,OPPO A5X 全网通5G版 8GB+256GB 钻石白
红米15R 4+128星岩黑,檀木健发梳,-,红米 15R 全网通5G版 4GB+128GB 星岩黑
OPPO A5x 5G(8+256)水晶粉,OPPO A5x,OPPO A5x 全网通5G版 8GB+256GB 水晶粉,OPPO A5X 全网通5G版 8GB+256GB 水晶粉
OPPO A5x 5G(6+128)玄武黑,OPPO A5x,OPPO A5x 全网通5G版 6GB+128GB 玄武黑,OPPO A5X 全网通5G版 6GB+128GB 玄武黑
OPPO A5x 5G(6+128)钻石白,OPPO A5x,OPPO A5x 全网通5G版 6GB+128GB 钻石白,OPPO A5X 全网通5G版 6GB+128GB 钻石白
2026款华为MatePad鸿蒙 11.5全网通 (TXZ-AL10) 8+256深空灰,-,-,华为平板 MatePad 2026款 （TXZ-AL10）11.5英寸 全网通版 8GB+256GB 深空灰
OPPO A6Pro（16+256）青云平步,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+256GB 青云平步,OPPO A6 Pro 全网通5G版 16GB+256GB 青云平步
OPPO A6Pro（16+256）流水生金,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+256GB 流水生金,OPPO A6 Pro 全网通5G版 16GB+256GB 流水生金
OPPO A6Pro（16+256）墨玉黑,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+256GB 墨玉黑,OPPO A6 Pro 全网通5G版 16GB+256GB 墨玉黑
OPPO A6Pro（16+512）青云平步,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+512GB 青云平步,OPPO A6 Pro 全网通5G版 16GB+512GB 青云平步
OPPO A6Pro（16+512）墨玉黑,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+512GB 墨玉黑,OPPO A6 Pro 全网通5G版 16GB+512GB 墨玉黑
OPPO A6Pro（16+512）流水生金,OPPO A6 Pro,OPPO A6 Pro 全网通5G版 16GB+512GB 流水生金,OPPO A6 Pro 全网通5G版 16GB+512GB 流水生金
OPPO A6（12+256）丝绒灰,OPPO A6,OPPO A6 全网通5G版 12GB+256GB 丝绒灰,OPPO A6 全网通5G版 12GB+256GB 丝绒灰
OPPO A6（12+256）蓝海浮光,OPPO A6,OPPO A6 全网通5G版 12GB+256GB 蓝海浮光,OPPO A6 全网通5G版 12GB+256GB 蓝海浮光
OPPO A6（12+256）粉梦生花,OPPO A6,OPPO A6 全网通5G版 12GB+256GB 粉梦生花,OPPO A6 全网通5G版 12GB+256GB 粉梦生花
OPPO A6（12+512）粉梦生花,OPPO A6,OPPO A6 全网通5G版 12GB+512GB 粉梦生花,OPPO A6 全网通5G版 12GB+512GB 粉梦生花
OPPO A6（12+512）蓝海浮光,OPPO A6,OPPO A6 全网通5G版 12GB+512GB 蓝海浮光,OPPO A6 全网通5G版 12GB+512GB 蓝海浮光
OPPO A6（12+512）丝绒灰,OPPO A6,OPPO A6 全网通5G版 12GB+512GB 丝绒灰,OPPO A6 全网通5G版 12GB+512GB 丝绒灰
OPPO Reno15pro 12＋512蜜糖金,OPPO Reno 15 Pro,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 蜜糖金,OPPO Reno 15 Pro 全网通5G版 12GB+512GB 蜜糖金
OPPO Reno15pro 12＋512星光蝴蝶结,OPPO Reno 15 Pro,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 星光蝴蝶结,OPPO Reno 15 Pro 全网通5G版 12GB+512GB 星光蝴蝶结
OPPO Reno15pro 12＋512可露丽棕,OPPO Reno 15 Pro,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 可露丽棕,OPPO Reno 15 Pro 全网通5G版 12GB+512GB 可露丽棕
OPPO Reno15 16＋512极光蓝,-,-,OPPO Reno 15 全网通5G版 16GB+512GB 极光蓝
OPPO Reno15 16＋512可露丽棕,-,-,OPPO Reno 15 全网通5G版 16GB+512GB 可露丽棕
OPPO Reno15 16＋512星光蝴蝶结,-,-,OPPO Reno 15 全网通5G版 16GB+512GB 星光蝴蝶结
OPPO Reno15 16＋256极光蓝,-,-,OPPO Reno 15 全网通5G版 16GB+256GB 极光蓝
OPPO Reno15 16＋256可露丽棕,-,-,OPPO Reno 15 全网通5G版 16GB+256GB 可露丽棕
OPPO Reno15 16＋256星光蝴蝶结,-,-,OPPO Reno 15 全网通5G版 16GB+256GB 星光蝴蝶结
OPPO Reno15 16＋1T可露丽棕,-,-,OPPO Reno 15 全网通5G版 16GB+1TB 可露丽棕
OPPO Reno15 16＋1T星光蝴蝶结,-,-,OPPO Reno 15 全网通5G版 16GB+1TB 星光蝴蝶结
OPPO Reno15pro 16＋512星光蝴蝶结,OPPO Reno 15 Pro,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 星光蝴蝶结,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 星光蝴蝶结
OPPO Reno15pro 16＋512蜜糖金,OPPO Reno 15 Pro,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 蜜糖金,OPPO Reno 15 Pro 全网通5G版 16GB+512GB 蜜糖金
华为 Watch十周年款  RTS-AL00 46mm蓝色素皮复合表带演示机蓝色,-,-,华为 WATCH 十周年款 智能手表 46mm 钛合金 蓝色素皮复合表带
华为Watch 十周年款 46mm 蓝色素皮复合表带蓝色,-,-,华为 WATCH 十周年款 智能手表 46mm 钛合金 蓝色素皮复合表带
华为WatchGT6 41mm （KSU-B19）蓝色氟橡胶表带演示机冰雪蓝,优诺严选 华为 Watch GT6高清钢化手表膜,-,华为 WATCH GT 6 智能手表 41mm 冰雪蓝 氟橡胶表带
华为Nova15pro 昆仑玻璃12+256(KLE-AL00U)演示机带感绿,-,-,华为 nova 15 Pro 全网通 256GB 昆仑玻璃 带感绿
华为Nova15pro 昆仑玻璃12+256(KLE-AL00U)演示机好搭紫,-,-,华为 nova 15 Pro 全网通 256GB 昆仑玻璃 好搭紫
华为Nova15pro 昆仑玻璃12+256(KLE-AL00U)演示机零度白,-,-,华为 nova 15 Pro 全网通 256GB 昆仑玻璃 零度白
OPPO Find N5 5G(16+512)缎黑,OPPO Find N5,OPPO Find N5 全网通5G版 16GB+512GB 缎黑,OPPO Find N5 全网通5G版 16GB+512GB 缎黑
OPPO PadSE柔光版 8+256 WiFi版星光银,-,-,OPPO Pad SE 11英寸 柔光版 WiFi版 8GB+256GB 星光银
OPPO PadSE柔光版 8+256 WiFi版夜幕蓝,-,-,OPPO Pad SE 11英寸 柔光版 WiFi版 8GB+256GB 夜幕蓝
OPPO Pad5 柔光版8+256 WiFi版幸运紫,赠品 OPPO Pad 5 孙颍莎定制限定立牌,赠品 OPPO Pad 5 孙颍莎定制限定立牌 紫色,OPPO Pad 5 12.1英寸 柔光版 WIFI版 8GB+256GB 幸运紫
OPPO Pad4Pro 16+512 WiFi版深空灰,-,-,OPPO Pad 4 Pro 2025款 13.2英寸 WiFi版 16GB+512GB 深空灰
OPPO Find X8S（16+512)星野黑,OPPO Find X8s 光彩磁吸保护壳,-,OPPO Find X8s 全网通5G版 16GB+512GB 星野黑
OPPO Find X8S+（16+512)星野黑,OPPO Find X8s 光彩磁吸保护壳,-,OPPO Find X8s+ 全网通5G版 16GB+512GB 星野黑
OPPO Find X8S+（16+512)月光白,OPPO Find X8s 光彩磁吸保护壳,-,OPPO Find X8s+ 全网通5G版 16GB+512GB 月光白
OPPO FindX9 16+512绒光钛,-,-,OPPO Find X9 全网通5G版 16GB+512GB 绒光钛
OPPO FindX9 16+512追光红,-,-,OPPO Find X9 全网通5G版 16GB+512GB 追光红
OPPO FindX9 16+512雾黑,-,-,OPPO Find X9 全网通5G版 16GB+512GB 雾黑
OPPO FindX9 16+512霜白,-,-,OPPO Find X9 全网通5G版 16GB+512GB 霜白
OPPO FindX9PRO 16+512追光红,-,-,OPPO Find X9 Pro 全网通5G版 16GB+512GB 追光红
OPPO FindX9PRO 16+512绒砂钛,-,-,OPPO Find X9 Pro 全网通5G版 16GB+512GB 绒砂钛
OPPO FindX9PRO 16+512霜白,-,-,OPPO Find X9 Pro 全网通5G版 16GB+512GB 霜白
OPPO FindX9 16+256绒光钛,-,-,OPPO Find X9 全网通5G版 16GB+256GB 绒光钛
OPPO FindX9 16+256霜白,-,-,OPPO Find X9 全网通5G版 16GB+256GB 霜白
OPPO FindX9 12+512追光红,-,-,OPPO Find X9 全网通5G版 12GB+512GB 追光红
OPPO FindX9 12+512雾黑,-,-,OPPO Find X9 全网通5G版 12GB+512GB 雾黑
OPPO FindX9 12+512霜白,-,-,OPPO Find X9 全网通5G版 12GB+512GB 霜白
OPPO FindX9 12+512绒光钛,-,-,OPPO Find X9 全网通5G版 12GB+512GB 绒光钛
华为Watch FIT3真皮表带 (SLO-B19)珍珠白,-,-,华为 WATCH FIT 3 智能手表 真皮表带 珍珠白
华为Watch FIT4氟橡胶表带 (SYA-B19)韵律黑,-,-,华为 WATCH FIT 4 智能手表  氟橡胶表带 韵律黑
华为Watch FIT4氟橡胶表带 (SYA-B19)风信紫,-,-,华为 WATCH FIT 4 智能手表  氟橡胶表带 风信紫
华为Watch FIT4氟橡胶表带 (SYA-B19)悦动白,-,-,华为 WATCH FIT 4 智能手表  氟橡胶表带 悦动白
华为Watch FIT4编织表带 (SYA-B19)幻影银,-,-,华为 WATCH FIT 4 智能手表  编织表带 幻影银
华为Watch FIT4Pro编织表带 (SYA-B29)原野绿,-,-,华为 WATCH FIT 4 Pro 智能手表 编织表带 原野绿
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)海岛蓝,-,-,华为 WATCH FIT 4 Pro 智能手表 氟橡胶表带 海岛蓝
华为Watch FIT4Pro氟橡胶表带 (SYA-B29)曜石黑,-,-,华为 WATCH FIT 4 Pro 智能手表 氟橡胶表带 曜石黑
华为手环B7 运动版氟胶表带（FDS-B49）曜金黑,-,-,华为 手环 B7 运动款 曜金黑氟橡胶表带
华为手环10(NOR-B29)铝合金表壳标准版冰川白,-,-,华为手环 10 标准版 冰川白 氟橡胶表带
华为手环10(NOR-B29)铝合金表壳标准版羽砂黑,-,-,华为手环 10 标准版 羽砂黑 氟橡胶表带
华为手环10(NOR-B29)铝合金表壳标准版流光紫,-,-,华为手环 10 标准版 流光紫 氟橡胶表带
华为手环10(NOR-B19)聚合纤维表壳标准版曜石黑,-,-,华为手环 10 标准版 曜石黑 氟橡胶表带
华为手环10(NOR-B19)聚合纤维表壳标准版拂晓粉,-,-,华为手环 10 标准版 拂晓粉 氟橡胶表带
华为手环10(NOR-B19)聚合纤维表壳标准版冰川白,-,-,华为手环 10 标准版 冰川白 氟橡胶表带
华为Nova15 12+256(PSN-AL00)演示机带感绿,-,-,华为 nova 15 全网通 256GB 带感绿
华为手环10(NOR-B39)铝合金表壳NFC版羽砂黑,-,-,华为手环 10 NFC版 曜石黑 氟橡胶表带
华为儿童通话手表5X（ALA-AL10）星际蓝,-,-,华为 儿童手表 5X (ALA-AL10) 星际蓝
华为儿童通话手表5X（ALA-AL10）星云粉,-,-,华为 儿童手表 5X (ALA-AL10) 星云粉
华为儿童通话手表5XPro（AHP-AL10）幻夜黑,-,-,华为 儿童手表 5X Pro (AHP-AL10) 幻夜黑
华为儿童通话手表5（KTY-L10）仲夏紫,-,-,华为 儿童手表 5 仲夏紫
华为儿童通话手表5（KTY-L10）原野绿,-,-,华为 儿童手表 5 原野绿
华为儿童通话手表5Pro（TGR-L10）冰晶蓝,-,-,华为 儿童手表 5 Pro（TGR-L10）  蓝色硅胶表带 冰晶蓝
华为儿童通话手表5Pro（TGR-L10）冰晶粉,-,-,华为 儿童手表 5 Pro（TGR-L10）  粉色硅胶表带 冰晶粉
华为儿童通话手表5Pro（TGR-L10）赤焰红,-,-,华为 儿童手表 5 Pro（TGR-L10）  感光炫彩版红色硅胶表带 赤焰红
华为儿童通话手表5Pro（TGR-L10）原野绿,-,-,华为 儿童手表 5 Pro（TGR-L10）  绿色编织表带 原野绿
华为儿童通话手表5Pro（TGR-L10）仲夏紫,-,-,华为 儿童手表 5 Pro（TGR-L10）  紫色编织表带 仲夏紫
华为WatchGT5 46mm （VLI-B19）蓝色复合编织表带托帕蓝,-,-,华为 WATCH GT 5 智能手表 46mm 托帕蓝 复合编织表带
华为WatchGT5pro 42mm （JNA-B29）白色氟橡胶表带冰川白,-,-,华为 WATCH GT 5 Pro 智能手表 42mm 冰川白 氟橡胶表带
华为WatchGT5pro 46mm （VLI-B29）钛金属表带钛空银,-,-,华为 WATCH GT 5 Pro 智能手表 46mm 太空银 钛金属表带
华为WatchGT5pro 46mm （VLI-B29）钛金属表带钛金属,-,-,华为 WATCH GT 5 Pro 智能手表 46mm 太空银 钛金属表带
华为WatchGT5pro 42mm （JNA-B29）白色陶瓷表带陶瓷白,-,-,华为 WATCH GT 5 Pro 智能手表 42mm 陶瓷白 陶瓷表带
华为WatchGT5 41mm （JNA-B19）棕色复合编织表带马鞍棕,-,-,华为 WATCH GT 5 智能手表 41mm 马鞍棕 复合编织表带
华为Watch Ultimate2（MCH-AL00）(黑色氟橡胶表带）苍穹黑,-,-,华为 Watch Ultimate 2 智能手表 苍穹黑 黑色氟橡胶表带
